0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:57 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:57 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:57 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:57 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/jsp/security.jsp?68055924 HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/jsp/security.jsp?68055924 HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:54:58 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:55:35 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4944
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:55:38 +0530] "GET /e-canvass/jsp/security.jsp?68055924 HTTP/1.1" 200 1093
